不良贷款控制,个人不良贷款,个人不良贷款控制计划完成率
客户增长,贵宾客户增长,贵宾客户数（账面）
客户增长,贵宾客户增长,贵宾客户数（账面）_上年末
客户增长,贵宾客户增长,CBI（贵宾客户）
客户增长,贵宾客户增长,E管家项目（贵宾客户）
客户增长,贵宾客户增长,贵宾客户数
客户增长,贵宾客户增长,贵宾客户数_上年末
客户增长,贵宾客户增长,贵宾客户增量
客户增长,贵宾客户增长,贵宾客户增长率
客户增长,贵宾客户增长,贵宾客户增量计划
客户增长,贵宾客户增长,贵宾客户增量计划完成率
客户增长,私人银行客户增长,私行客户数（账面）
客户增长,私人银行客户增长,私行客户数（账面）_上年末
客户增长,私人银行客户增长,CBI（私行客户）
客户增长,私人银行客户增长,E管家项目（私行客户）
客户增长,私人银行客户增长,私行客户数
客户增长,私人银行客户增长,私行客户数_上年末
客户增长,私人银行客户增长,私行客户增量
客户增长,私人银行客户增长,私行客户增长率
客户增长,私人银行客户增长,私行客户增量计划
客户增长,私人银行客户增长,私行客户增量计划完成率
客户增长,私人银行客户增长,私人银行客户分层折算增量
客户增长,私人银行客户增长,私人银行客户分层折算系数
零售客户拓展,新增激活借记客户数,新增激活借记客户数（考核口径）
零售客户拓展,新增激活借记客户数,新增激活借记客户数计划（考核口径）
零售客户拓展,新增激活借记客户数,新增激活借记客户数计划完成率（考核口径）
零售客户拓展,信用卡新增客户,信用卡新增客户（上年同期）
零售客户拓展,信用卡新增客户,信用卡新增客户同比增量
零售客户拓展,信用卡新增客户,信用卡新增客户增长率
普惠金融,普惠型个人贷款,普惠型个人贷款增量计划
普惠金融,普惠型个人贷款,普惠型个人贷款增量计划完成率（银保监会口径）
普惠金融,普惠型个人贷款,普惠型个人贷款增量计划完成率（人民银行口径）
普惠金融,普惠型个人贷款,普惠型个人贷款增量计划完成率（考核口径）
普惠金融,普惠型个人涉农贷款,普惠型个人涉农贷款增量计划
普惠金融,普惠型个人涉农贷款,普惠型个人涉农贷款增量计划完成率
普惠金融,涉农个人贷款,涉农个人贷款增量计划
普惠金融,涉农个人贷款,涉农个人贷款增量计划目标完成率
全客户“五主”综合经营,主服务客户增长,电子渠道活跃率,电子渠道活跃率考核目标客户数
全客户“五主”综合经营,主服务客户增长,电子渠道活跃率,手机银行活跃客户数
全客户“五主”综合经营,主服务客户增长,电子渠道活跃率,电子渠道活跃率
全客户“五主”综合经营,主服务客户增长,企业微信认证率,到店并完成企业微信认证转化的客户数
全客户“五主”综合经营,主服务客户增长,企业微信认证率,到店企业微信未认证客户数
全客户“五主”综合经营,主服务客户增长,企业微信认证率,到店客户企业微信认证率
全客户“五主”综合经营,主服务客户增长,企业微信认证率,富裕及以上客户企业微信认证客户数
全客户“五主”综合经营,主服务客户增长,企业微信认证率,富裕及以上客户数
全客户“五主”综合经营,主服务客户增长,企业微信认证率,富裕及以上客户企业微信认证率
全客户“五主”综合经营,主结算客户增长,缴费通交易客户数,缴费通交易客户数
全客户“五主”综合经营,主结算客户增长,缴费通交易客户数,缴费通交易客户数计划
全客户“五主”综合经营,主结算客户增长,缴费通交易客户数,缴费通交易客户数计划完成率
全客户“五主”综合经营,主结算客户增长,移动支付月活跃合约数计划完成率,移动支付月活跃合约数
全客户“五主”综合经营,主结算客户增长,移动支付月活跃合约数计划完成率,移动支付月活跃合约数计划
全客户“五主”综合经营,主结算客户增长,移动支付月活跃合约数计划完成率,移动支付月活跃合约数计划完成率
全客户“五主”综合经营,主融资客户增长,车贷抵押登记完成率,已完成抵押登记业务笔数
全客户“五主”综合经营,主融资客户增长,车贷抵押登记完成率,考核范围内车贷业务总笔数
全客户“五主”综合经营,主融资客户增长,车贷抵押登记完成率,车贷抵押登记完成率
全客户“五主”综合经营,主融资客户增长,车贷渠道活跃度,当季月均放款达到3笔的合作渠道数量
全客户“五主”综合经营,主融资客户增长,车贷渠道活跃度,有效合作渠道数
全客户“五主”综合经营,主融资客户增长,车贷渠道活跃度,车贷渠道活跃度
全客户“五主”综合经营,主融资客户增长,房抵客户信用贷触达率,全年累计触达客户数
全客户“五主”综合经营,主融资客户增长,房抵客户信用贷触达率,全年累计下发名单数
全客户“五主”综合经营,主融资客户增长,房抵客户信用贷触达率,房抵客户信用贷触达率
全客户“五主”综合经营,主融资客户增长,分层客户信用卡及借贷关联,持有信用卡富裕客户数
全客户“五主”综合经营,主融资客户增长,分层客户信用卡及借贷关联,富裕客户信用卡覆盖率
全客户“五主”综合经营,主融资客户增长,分层客户信用卡及借贷关联,持有信用卡贵宾客户数
全客户“五主”综合经营,主融资客户增长,分层客户信用卡及借贷关联,贵宾客户信用卡覆盖率
全客户“五主”综合经营,主融资客户增长,分层客户信用卡及借贷关联,持有信用卡私行客户数
全客户“五主”综合经营,主融资客户增长,分层客户信用卡及借贷关联,私行客户信用卡覆盖率
全客户“五主”综合经营,主融资客户增长,分层客户信用卡及借贷关联,发生过1笔及以上借贷关联还款交易的富裕客户
全客户“五主”综合经营,主融资客户增长,分层客户信用卡及借贷关联,富裕客户关联还款率
全客户“五主”综合经营,主融资客户增长,分层客户信用卡及借贷关联,发生过1笔及以上借贷关联还款交易的贵宾客户
全客户“五主”综合经营,主融资客户增长,分层客户信用卡及借贷关联,贵宾客户关联还款率
全客户“五主”综合经营,主融资客户增长,分层客户信用卡及借贷关联,发生过1笔及以上借贷关联还款交易的私行客户
全客户“五主”综合经营,主融资客户增长,分层客户信用卡及借贷关联,私行客户关联还款率
全客户“五主”综合经营,主融资客户增长,个贷客户转化,新签约个贷客户中富裕客户数
全客户“五主”综合经营,主融资客户增长,个贷客户转化,新签约个贷客户中贵宾客户数
全客户“五主”综合经营,主融资客户增长,个贷客户转化,新签约个贷客户中私行客户数
全客户“五主”综合经营,主融资客户增长,个贷客户转化,当前新个贷客户中富裕以上客户折算数量
全客户“五主”综合经营,主融资客户增长,个贷客户转化,当年新个贷客户数
全客户“五主”综合经营,主融资客户增长,个贷客户转化,富裕及以上客户转化率
全客户“五主”综合经营,主融资客户增长,信用贷获客能力,消费信秒贷首签客户数
全客户“五主”综合经营,主融资客户增长,信用贷获客能力,小微信贷首签客户数
全客户“五主”综合经营,主融资客户增长,信用贷获客能力,烟商贷自主支付首签客户数
全客户“五主”综合经营,主融资客户增长,信用贷获客能力,烟商贷定向支付首签客户数
全客户“五主”综合经营,主融资客户增长,信用贷获客能力,安居场景贷首签客户数
全客户“五主”综合经营,主融资客户增长,信用贷获客能力,经营场景贷首签客户数
全客户“五主”综合经营,主融资客户增长,信用贷获客能力,尊享信秒贷首签客户数
全客户“五主”综合经营,主融资客户增长,信用贷获客能力,信用贷首签客户数
全客户“五主”综合经营,主融资客户增长,信用贷获客能力,考核口径信用贷首签客户数
全客户“五主”综合经营,主投资客户增长,代理业务销售,私行代销标准化产品保有量
全客户“五主”综合经营,主投资客户增长,代理业务销售,代为推介保有量
全客户“五主”综合经营,主投资客户增长,代理业务销售,券商基金保有量
全客户“五主”综合经营,主投资客户增长,代理业务销售,公募基金保有量
全客户“五主”综合经营,主投资客户增长,代理业务销售,代销他行理财公司非货新理财（零售）保有量
全客户“五主”综合经营,主投资客户增长,代理业务销售,代销他行理财公司非货新理财（私行）保有量
全客户“五主”综合经营,主投资客户增长,代理业务销售,私行代销标准化产品保有量_上年末
全客户“五主”综合经营,主投资客户增长,代理业务销售,代为推介保有量_上年末
全客户“五主”综合经营,主投资客户增长,代理业务销售,券商基金保有量_上年末
全客户“五主”综合经营,主投资客户增长,代理业务销售,公募基金保有量_上年末
全客户“五主”综合经营,主投资客户增长,代理业务销售,代销他行理财公司非货新理财（零售）保有量_上年末
全客户“五主”综合经营,主投资客户增长,代理业务销售,代销他行理财公司非货新理财（私行）保有量_上年末
全客户“五主”综合经营,主投资客户增长,代理业务销售,净值型产品保有量
全客户“五主”综合经营,主投资客户增长,代理业务销售,净值型产品保有量_上年末
全客户“五主”综合经营,主投资客户增长,代理业务销售,净值型产品保有量增量
全客户“五主”综合经营,主投资客户增长,代理业务销售,净值型产品保有量增量计划
全客户“五主”综合经营,主投资客户增长,代理业务销售,净值型产品保有量增量计划完成率
全客户“五主”综合经营,主投资客户增长,代理业务销售,保险价值保费销量
全客户“五主”综合经营,主投资客户增长,代理业务销售,保险价值保费销量计划
全客户“五主”综合经营,主投资客户增长,代理业务销售,保险价值保费销量计划完成率
全客户“五主”综合经营,主投资客户增长,代理业务销售,私人银行客户保险销量
全客户“五主”综合经营,主投资客户增长,代理业务销售,私人银行客户保险销量计划
全客户“五主”综合经营,主投资客户增长,代理业务销售,私人银行客户保险销量计划完成率
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币理财富裕客户
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币理财富裕客户_上年末
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币理财富裕客户增量
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币理财富裕客户增量计划
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币理财富裕客户增量计划完成率
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币基金富裕客户
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币基金富裕客户_上年末
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币基金富裕客户增量
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币基金富裕客户增量计划
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币基金富裕客户增量计划完成率
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,资配达标贵宾客户
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,资配达标贵宾客户_上年末
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,资配达标贵宾客户增量
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,资配达标贵宾客户增量计划
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,资配达标贵宾客户增量计划完成率
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,非货币基金贵宾客户
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,非货币基金贵宾客户_上年末
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,非货币基金贵宾客户增量
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,非货币基金贵宾客户增量计划
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,非货币基金贵宾客户增量计划完成率
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,资配达标私行客户
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,资配达标私行客户_上年末
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,资配达标私行客户增量
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,资配达标私行客户增量计划
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,资配达标私行客户增量计划完成率
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,持有复杂产品私行客户
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,持有复杂产品私行客户_上年末
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,私行客户复杂产品覆盖率
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,持有复杂产品私行客户增量
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,持有复杂产品私行客户增量计划
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,持有复杂产品私行客户增量计划完成率
全客户“五主”综合经营,主投资客户增长,养老金账户,养老金账户开户客户数
全客户“五主”综合经营,主投资客户增长,养老金账户,养老金账户开户客户数计划
全客户“五主”综合经营,主投资客户增长,养老金账户,养老金账户开户客户数计划完成率
全客户“五主”综合经营,主投资客户增长,养老金账户,养老金缴存客户数
全客户“五主”综合经营,主投资客户增长,养老金账户,养老金缴存客户数计划
全客户“五主”综合经营,主投资客户增长,养老金账户,养老金缴存客户数计划完成率
效益,零售板块营业净收入,账面口径零售营业净收入
效益,零售板块营业净收入,银联调整项
效益,零售板块营业净收入,考核口径零售营业净收入
效益,零售板块营业净收入,考核口径零售营业净收入_上年同期
效益,零售板块营业净收入,考核口径零售营业净收入增量
效益,零售板块营业净收入,考核口径零售营业净收入增长率
效益,零售板块营业净收入,考核口径零售营业净收入计划
效益,零售板块营业净收入,考核口径零售营业净收入计划完成率
效益,零售板块营业净收入,零售营收占比
效益,零售板块营业净收入,全行营业净收入
效益,零售板块营业净收入,考核口径零售营业净收入_上年末
效益,零售板块营业净收入,全行营业净收入_上年末
效益,零售板块营业净收入,零售营收占比提升
效益,零售板块营业净收入,个人存款成本率
效益,零售板块营业净收入,个人存款成本率市场均值
效益,零售板块营业净收入,个人存款成本率系数
效益,零售板块营业净收入,个人存款成本率变动
效益,零售板块营业净收入,个人存款成本率变动市场均值
效益,零售板块营业净收入,个人存款成本率变动系数
效益,零售板块营业净收入,量价平衡修正系数
效益,零售轻资本业务收入,中收（账面口径）
效益,零售轻资本业务收入,CBI双算（中收）
效益,零售轻资本业务收入,结构性存款平盘成本
效益,零售轻资本业务收入,e管家引流项目调整
效益,零售轻资本业务收入,个贷中收（账面）
效益,零售轻资本业务收入,考核口径中收
效益,零售轻资本业务收入,考核口径中收计划
效益,零售轻资本业务收入,考核口径中收计划完成率
效益,零售轻资本业务收入,考核口径上年同期中收
效益,零售轻资本业务收入,考核口径中收增长率
效益,零售轻资本业务收入,代理保险业务收入
效益,零售轻资本业务收入,保险中收计划
效益,零售轻资本业务收入,保险中收计划完成率
新客户“五主”基础动作,网申信用卡进店核验客户贷发借转化率,网申信用卡进店核验客户贷发借转化客户
新客户“五主”基础动作,网申信用卡进店核验客户贷发借转化率,网申信用卡进店核验累计客户数
新客户“五主”基础动作,网申信用卡进店核验客户贷发借转化率,网申信用卡进店核验客户贷发借转化率
新客户“五主”基础动作,新客户“一户六开两推”,新客户数
新客户“五主”基础动作,新客户“一户六开两推”,千元入金客户数
新客户“五主”基础动作,新客户“一户六开两推”,千元入金率
新客户“五主”基础动作,新客户“一户六开两推”,简单产品转化客户数
新客户“五主”基础动作,新客户“一户六开两推”,简单产品转化率
新客户“五主”基础动作,新客户“一户六开两推”,手机APP下载登录客户数
新客户“五主”基础动作,新客户“一户六开两推”,手机APP下载登录率
新客户“五主”基础动作,新客户“一户六开两推”,企业微信认证客户数
新客户“五主”基础动作,新客户“一户六开两推”,企业微信认证率
新客户“五主”基础动作,新客户“一户六开两推”,官微关注且绑卡客户数
新客户“五主”基础动作,新客户“一户六开两推”,官微关注且绑卡率
新客户“五主”基础动作,新客户“一户六开两推”,移动支付签约交易客户数
新客户“五主”基础动作,新客户“一户六开两推”,移动支付签约交易率
新客户“五主”基础动作,新客户“一户六开两推”,信用卡持有及借贷关联签约客户数
新客户“五主”基础动作,新客户“一户六开两推”,信用卡持有及借贷关联签约率
新客户“五主”基础动作,新客户“一户六开两推”,信秒贷签约客户数
新客户“五主”基础动作,新客户“一户六开两推”,信秒贷签约率
新客户“五主”基础动作,新客户“一户六开两推”,缴费通签约客户数
新客户“五主”基础动作,新客户“一户六开两推”,缴费通签约率
新客户“五主”基础动作,新客户“一户六开两推”,个人养老金账户开通客户数
新客户“五主”基础动作,新客户“一户六开两推”,个人养老金账户开通率
新客户“五主”基础动作,信用卡新客户“一户三绑”,信用卡新客户
新客户“五主”基础动作,信用卡新客户“一户三绑”,信用卡新客企微添加认证客户数
新客户“五主”基础动作,信用卡新客户“一户三绑”,信用卡新客企微添加认证率
新客户“五主”基础动作,信用卡新客户“一户三绑”,信用卡新客快捷支付绑卡客户数
新客户“五主”基础动作,信用卡新客户“一户三绑”,信用卡新客快捷支付绑卡率
新客户“五主”基础动作,信用卡新客户“一户三绑”,信用卡新客借贷关联签约客户数
新客户“五主”基础动作,信用卡新客户“一户三绑”,信用卡新客借贷关联签约率
重点领域信贷支持,个人消费贷款,个人消费贷款余额
重点领域信贷支持,个人消费贷款,个人消费贷款增量
重点领域信贷支持,个人消费贷款,个人消费贷款增量计划
重点领域信贷支持,个人消费贷款,个人消费贷款增量计划完成率